# 
# moon1.dat
#
# Cofficients for moon longitude and distance.
# Transcribed from Astronomical Algorithms, pages 339,340
#
# Original Author: Stephen Fegan
# $Author: sfegan $
# $Date: 2007/11/04 20:33:05 $
# $Revision: 1.1 $
# $Tag$
#

0	0	1	0	6 288 774	-20 905 355
2	0	-1	0	1 274 027	 -3 699 111
2	0	0	0	  658 314	 -2 955 968
0	0	2	0	  213 618	   -569 925
0	1	0	0	 -185 116	     48 888
0	0	0	2	 -114 332	     -3 149
2	0	-2	0	   58 793	    246 158
2	-1	-1	0	   57 066	   -152 138
2	0	1	0	   53 322	   -170 733
2	-1	0	0	   45 758	   -204 586
0	1	-1	0	  -40 923	   -129 620
1	0	0	0	  -34 720	    108 743
0	1	1	0	  -30 383	    104 755
2	0	0	-2	   15 327	     10 321
0	0	1	2	  -12 528	          0
0	0	1	-2	   10 980	     79 661
4	0	-1	0	   10 675	    -34 782
0	0	3	0	   10 034	    -23 210
4	0	-2	0	    8 548	    -21 636
2	1	-1	0	   -7 888	     24 208
2	1	0	0	   -6 766	     30 824
1	0	-1	0	   -5 163	     -8 379
1	1	0	0	    4 987	    -16 675
2	-1	1	0	    4 036	    -12 831
2	0	2	0	    3 994	    -10 445
4	0	0	0	    3 861	    -11 650
2	0	-3	0	    3 665	     14 403
0	1	-2	0	   -2 689	     -7 003
2	0	-1	2	   -2 602	          0
2	-1	-2	0	    2 390	     10 056
1	0	1	0	   -2 348	      6 322
2	-2	0	0	    2 236	     -9 884

0	1	2	0	   -2 120	      5 751
0	2	0	0	   -2 069	          0
2	-2	-1	0	    2 048	     -4 950
2	0	1	-2	   -1 773	      4 130
2	0	0	2	   -1 595	          0
4	-1	-1	0	    1 215	     -3 958
0	0	2	2	   -1 110	          0
3	0	-1	0	     -892	      3 258
2	1	1	0	     -810	      2 616
4	-1	-2	0	      759	     -1 897
0	2	-1	0	     -713	     -2 117
2	2	-1	0	     -700	      2 354
2	1	-2	0	      691	          0
2	-1	0	-2	      596	          0
4	0	1	0	      549	     -1 423
0	0	4	0	      537	     -1 117
4	-1	0	0	      520	     -1 571
1	0	-2	0	     -487	     -1 739
2	1	0	-2	     -399	          0
0	0	2	-2	     -381	     -4 421
1	1	1	0	      351	          0
3	0	-2	0	     -340	          0
4	0	-3	0	      330	          0
2	-1	2	0	      327	          0
0	2	1	0	     -323	      1 165
1	1	-1	0	      299	          0
2	0	3	0	      294	          0
2	0	-1	-2	        0	      8 752
