# 
# moon1.dat
#
# Cofficients for moon latitude
# Transcribed from Astronomical Algorithms, pages 341,342
#
# Original Author: Stephen Fegan
# $Author: sfegan $
# $Date: 2007/11/04 20:33:05 $
# $Revision: 1.1 $
# $Tag$
#

0	0	0	1	5 128 122
0	0	1	1	  280 602
0	0	1	-1	  277 693
2	0	0	-1	  173 237
2	0	-1	1	   55 413
2	0	-1	-1	   46 271
2	0	0	1	   32 573
0	0	2	1	   17 198
2	0	1	-1	    9 266
0	0	2	-1	    8 822
2	-1	0	-1	    8 216
2	0	-2	-1	    4 324
2	0	1	1	    4 200
2	1	0	-1	   -3 359
2	-1	-1	1	    2 463
2	-1	0	1	    2 211
2	-1	-1	-1	    2 065
0	1	-1	-1	   -1 870
4	0	-1	-1	    1 828
0	1	0	1	   -1 794
0	0	0	3	   -1 749
0	1	-1	1	   -1 565
1	0	0	1	   -1 491
0	1	1	1	   -1 475
0	1	1	-1	   -1 410
0	1	0	-1	   -1 344
1	0	0	-1	   -1 335
0	0	3	1	    1 107
4	0	0	-1	    1 021
4	0	-1	1	      833

0	0	1	-3	      777
4	0	-2	1	      671
2	0	0	-3	      607
2	0	2	-1	      596
2	-1	1	-1	      491
2	0	-2	1	     -451
0	0	3	-1	      439
2	0	2	1	      422
2	0	-3	-1	      421
2	1	-1	1	     -366
2	1	0	1	     -351
4	0	0	1	      331
2	-1	1	1	      315
2	-2	0	-1	      302
0	0	1	3	     -283
2	1	1	-1	     -229
1	1	0	-1	      223
1	1	0	1	      223
0	1	-2	-1	     -220
2	1	-1	-1	     -220
1	0	1	1	     -185
2	-1	-2	-1	      181
0	1	2	1	     -177
4	0	-2	-1	      176
4	-1	-1	-1	      166
1	0	1	-1	     -164
4	0	1	-1	      132
1	0	-1	-1	     -119
4	-1	0	-1	      115
2	-2	0	1	      107

